Machine,Energy,Time
compute390,528563877,10.005298
compute390,547431448,10.006769
compute390,521171958,10.018724
compute390,523153082,10.011500
compute390,524338247,10.014655
compute390,520535774,10.010862
compute390,519734616,10.012000
compute390,519675600,10.008487
compute390,520488514,10.015187
compute076,522999727,10.015120
compute076,519627600,10.010525
compute076,525912635,10.013784
compute076,518262614,10.010398
compute076,518022497,10.008886
compute076,521683139,10.011237
compute076,517910810,10.010608
compute076,518239140,10.009171
compute076,523941206,10.008618
compute076,519029150,10.013504
compute283,513785281,10.009088
compute283,513259167,10.010992
compute283,512842020,10.007436
compute283,513666811,10.008194
compute283,511522956,10.007848
compute283,511413647,10.008527
compute283,514745882,10.007696
compute283,513500337,10.008420
compute283,513162760,10.006506
compute283,511470873,10.003780
compute395,548528539,10.012446
compute395,518462045,10.012184
compute395,523279372,10.012460
compute395,570072275,10.008513
compute395,535381418,10.010513
compute395,526537051,10.009977
compute395,520387681,10.007550
compute395,519558094,10.010595
compute395,519513307,10.009228
compute113,503610892,10.008670
compute113,498690158,10.010943
compute113,497079360,10.012146
compute113,553255751,10.009673
compute113,503534104,10.008394
compute113,498112000,10.010084
compute113,496435988,10.009494
compute113,494089777,10.007206
compute113,492060052,10.003696
compute112,493418769,10.012823
compute112,496224914,10.013010
compute112,501357113,10.009686
compute112,501230993,10.009732
compute112,497629989,10.009305
compute112,491873519,10.010207
compute112,496071184,10.010162
compute112,497344768,10.008733
compute112,501439726,10.007890
compute112,495516053,10.009092
compute110,524513545,10.011252
compute110,527788365,10.016756
compute110,570583359,10.013120
compute110,563560983,10.008239
compute110,528508847,10.008832
compute110,523140857,10.007578
compute110,525022482,10.012053
compute110,528094160,10.007577
compute110,526293242,10.008188
compute105,493998776,10.018375
compute105,495022204,10.008835
compute105,495759058,10.016832
compute105,496025982,10.014463
compute105,497865259,10.008040
compute105,508593559,10.009078
compute105,495810522,10.009013
compute105,491653793,10.009152
compute105,492249196,10.009488
compute308,495481200,10.013063
compute308,502842182,10.012430
compute308,494682003,10.008491
compute308,513625131,10.013013
compute308,517019752,10.012910
compute308,509322615,10.010085
compute308,521829538,10.008863
compute308,555324302,10.006056
compute308,499585625,10.009211
compute284,491970191,10.002619
compute284,490979461,10.013541
compute284,491823675,10.014555
compute284,490712859,10.013682
compute284,496202575,10.007890
compute284,490786875,10.013864
compute284,494232192,10.015881
compute284,491537209,10.008358
compute284,491948381,10.008939
compute284,490697610,10.009812